0,1,2,3,4,5,6,7,8,9
10,10,10,14,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12
7,7,7,7,7,1,1,1,1,1
7,7,7,7,7,7,7,7,4,4
1,1,1,1,2,2,2,2,2,3
14,14,14,14,14,14,14,14,11,11
7,7,7,7,7,4,4,4,4,4
6,6,6,6,6,6,6,3,3,3
6,6,6,6,6,6,6,6,6,6
10,10,13,13,13,13,16,16,16,16
3,3,3,6,6,6,6,6,6,6
11,14,14,14,14,14,14,14,14,10
13,13,13,13,13,14,14,14,10,10
15,15,15,15,15,18,15,12,12,12
3,3,3,3,3,3,3,3,3,6
7,7,7,7,7,7,7,7,7,7
6,6,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,7
9,9,12,12,12,12,12,12,12,12
7,7,7,7,7,13,10,13,13,13
15,15,15,15,15,15,15,11,12,11
5,2,2,2,2,2,1,1,1,1
6,6,6,9,12,12,12,12,12,12
6,3,3,3,3,3,3,3,3,3
6,6,3,6,6,3,3,3,3,5
13,15,12,6,3,3,8,7,13,9
18,11,4,1,1,9,18,12,6,3
12,11,7,8,6,6,6,3,1,1
6,11,10,7,1,7,10,11,6,3
12,15,12,6,6,9,14,7,1,1
18,12,12,6,1,1,3,6,6,12
11,13,16,15,12,12,9,7,7,3
11,15,12,6,3,5,7,16,10,6
13,10,6,3,6,6,12,13,7,4
9,12,12,11,10,14,15,12,12,15
3,2,1,7,9,12,12,15,13,7
12,6,3,4,10,10,1,1,7,14
6,12,12,12,6,3,4,7,16,9
13,7,4,3,6,6,12,14,13,7
13,13,8,3,3,6,12,15,7,1
12,6,3,6,9,10,13,8,3,3
11,15,12,6,6,6,14,13,7,1
11,7,7,6,6,6,3,1,1,3
13,7,5,3,6,12,12,14,7,1
15,12,6,6,12,15,9,2,1,7
12,14,16,14,12,12,12,8,7,4
13,13,9,6,3,6,12,14,7,7
9,10,13,7,3,3,6,12,15,9
1,7,8,12,12,12,9,1,1,3
15,9,3,6,12,12,6,3,6,15
