0,1,2,3,4,5,6,7,8,9
6,9,9,9,9,9,9,11,11,11
14,14,14,15,15,15,15,15,12,12
6,6,6,6,6,3,6,3,6,6
14,14,14,14,14,14,14,10,10,10
5,4,4,4,4,4,1,1,1,1
7,7,1,1,1,1,1,1,1,1
13,13,13,13,13,13,10,10,10,10
8,8,11,11,11,11,11,15,15,15
12,12,12,12,12,12,12,12,9,9
9,8,8,8,8,7,7,7,7,7
5,6,6,3,3,3,3,3,3,3
13,13,13,13,13,16,16,13,16,13
13,16,13,13,13,10,10,10,10,10
9,9,9,9,5,5,5,3,3,3
3,3,3,3,3,6,6,6,6,6
2,2,2,4,4,4,4,4,7,7
13,14,16,13,14,13,10,10,10,10
3,3,3,3,3,3,3,3,3,3
13,16,13,16,13,13,13,13,13,13
10,14,14,11,11,11,11,12,12,12
1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,2,2,2
8,8,8,5,4,2,2,2,2,2
15,12,12,12,12,12,12,12,6,6
12,12,15,11,11,11,11,10,10,10
7,8,6,6,6,2,1,2,6,6
12,12,12,15,13,16,15,12,12,9
3,3,12,15,12,6,3,9,14,7
6,3,6,12,12,6,3,9,15,8
9,14,7,1,1,7,13,8,3,6
12,6,3,6,12,15,8,1,1,4
6,6,3,3,7,7,14,12,12,6
14,10,7,1,3,12,15,12,6,3
7,14,12,6,3,6,9,14,7,7
7,10,15,12,6,6,6,11,13,7
12,12,6,3,6,12,15,8,1,1
5,3,6,12,12,6,3,6,10,13
12,6,3,12,15,6,3,6,12,12
8,3,3,6,12,14,7,1,2,6
11,2,2,7,16,7,1,4,10,14
8,3,6,12,12,12,6,3,8,13
13,8,6,6,6,6,8,7,14,12
2,1,7,14,11,6,3,6,12,12
7,14,18,12,12,9,4,1,3,3
13,7,2,5,12,12,6,3,6,12
13,14,12,6,6,3,4,7,10,15
15,7,1,2,3,6,12,15,14,7
12,13,13,15,15,18,15,14,13,14
10,2,3,9,18,12,6,6,12,12
7,14,9,3,6,12,18,12,3,2
